S.No,Name,Year of Birth,Age,Gender,Address,Phone Number,Email,Number of Kids,Accomodation (Rent/Own),Anual Income,Sppeding tickets per year
14249,Edith Craft,1948,74,Female,1099/ 24TH/ Cobb/ Kennesaw/ GA/ 30152,(229)220-1107,edith-cra1948@yahoo.fr,3,Own,73100.28,0
14250,Stephanie Gallagher,2006,15,Female,2857/ DANVILLE/ Worcester/ Showell/ MD/ 21862,(240)875-6374,stephang01@hotmail.com,0,Rent,0.0,22
14251,Kevin George,1971,50,Male,5360/ CLEARFIELD/ New York/ New York/ NY/ 10035,(315)582-9883,k_geor0906@msn.com,1,Rent,2763.42,0
14252,Garrett Hensley,1980,41,Male,9573/ N IH 35 SB TO BARWOOD/ Otsego/ Westford/ NY/ 13488,(914)630-0706,garrett_hensle2505@hotmail.com,0,Own,96928.26,0
14253,Gregory Bender,1970,51,Male,8908/ MOPAC NB TO W US 290 SVRD/ Garland/ Hot Springs National Park/ AR/ 71903,(870)873-4346,g.bend011170@yahoo.com,0,Own,79617.78,0
14254,Tiffany Chase,1997,25,Female,155/ CARRIE MANOR/ Philadelphia/ Philadelphia/ PA/ 19116,(570)589-3714,tiffany_c1997@hotmail.fr,0,Own,66739.2,18
14255,Brenda Matthews,1959,62,Female,3268/ N 35 NB TO THREE POINTS/ San Francisco/ San Francisco/ CA/ 94131,(818)233-5922,brenda_matthews1959@gmail.com,0,Own,85718.16,1
14256,Alexis Jefferson,1994,27,Female,5552/ MARY/ Outagamie/ Seymour/ WI/ 54165,(715)341-8176,alexis_jefferson17@hotmail.fr,0,Own,208.56,13
14257,Christina Goodman,2006,15,Female,961/ CURTIS/ Polk/ Columbus/ NC/ 28722,(828)813-8232,christina_goodman2006@yahoo.com,0,Rent,0.0,0
14258,Edna Wilcox,1949,73,Female,4224/ COLLINWOOD WEST/ Lincoln/ Diamondville/ WY/ 83116,(307)265-7190,e.wi1949@wanadoo.fr,0,Own,52296.42,0
14259,Lisa Mcintosh,1989,32,Female,7428/ GOWER/ Clark/ Vancouver/ WA/ 98663,(425)453-9046,lisa-mcintosh190689@orange.fr,3,Rent,35403.06,0
14260,Bonnie Winters,1959,62,Female,6597/ CHROMITE/ / Fpo/ AE/ 9618,(912)685-0934,b.winters1959@hotmail.fr,0,Own,41503.44,1
14261,Maya Bryant,2015,6,Female,293/ DALLAS/ / Apo/ AE/ 9021,(576)943-0056,may-brya@aol.com,0,Own,0.0,0
14262,Jermaine Mays,1971,50,Male,7942/ OLYMPIC/ Los Angeles/ San Gabriel/ CA/ 91776,(669)677-0170,je.mays1971@yahoo.com,0,Own,782.1,0
14263,Sara Mcintosh,1942,80,Female,6276/ TULAROSA/ Cumberland/ Crossville/ TN/ 38555,(615)487-9663,sa.mcintosh1942@hotmail.com,0,Rent,49897.98,0
14264,Skylar Thompson,2013,8,Female,3765/ BUMBLE BEE/ Albany/ Feura Bush/ NY/ 12067,(716)663-7884,skylar.t@hotmail.fr,0,Rent,0.0,0
14265,Bryan Hampton,1985,36,Male,7436/ COPPERLILY/ Sacramento/ Sacramento/ CA/ 95838,(628)643-0648,bryan-hampton0209@yahoo.com,3,Rent,41816.28,6
14266,Gregory Moore,1962,60,Male,3912/ COLLINGWOOD/ / Fpo/ AE/ 9510,(910)719-1949,gr.mo0403@hotmail.co.uk,0,Own,85353.18000000001,0
14267,Terry Pennington,1976,45,Male,3559/ PEACE PIPE/ Vanderburgh/ Evansville/ IN/ 47737,(765)934-8839,terr-p07@hotmail.fr,0,Rent,13921.380000000001,2
14268,Lilly Woods,2016,5,Female,6787/ CASCADE/ Roanoke City/ Roanoke/ VA/ 24005,(571)567-9822,lil_wo03@yahoo.com,0,Rent,0.0,0
14269,Kirk Park,1961,61,Male,2106/ DUNCAN/ Burleigh/ Bismarck/ ND/ 58502,(701)234-9040,k.park345@orange.fr,1,Own,93382.74,0
14270,Diana Irwin,1986,36,Female,664/ DARLESS/ Cherokee/ Leesburg/ AL/ 35983,(256)692-5983,dian.irwi04@hotmail.com,1,Rent,5214.0,2
14271,Zoey Hubbard,2008,13,Female,4314/ CONCHO/ Greene/ Coxsackie/ NY/ 12051,(631)928-6382,z-hubbard0410@gmail.com,0,Rent,0.0,0
14272,Barbara Rush,1960,61,Female,8282/ DEERGROVE/ Harrison/ Freeport/ OH/ 43973,(937)708-8409,barbararush451@hotmail.co.uk,0,Own,10845.12,0
14273,Kylie Obrien,1993,28,Female,6084/ CENTRE/ Klamath/ Beatty/ OR/ 97621,(971)542-2362,kylie-obri160893@hotmail.co.uk,1,Rent,17206.2,19
14274,Jorge Bowen,1997,25,Male,4686/ 1ST/ Young/ South Bend/ TX/ 76481,(512)457-2292,j-bowen2304@yahoo.com,0,Own,64705.74,13
14275,Brian Shaw,1980,41,Male,5569/ WELLS BRANCH/ Erie/ Getzville/ NY/ 14068,(631)675-7914,brian.shaw@gmail.com,3,Own,99900.24,2
14276,Jean Browning,1964,57,Female,4343/ DESCO/ Putnam/ Hennepin/ IL/ 61327,(872)890-1996,jebr1964@hotmail.fr,0,Own,27529.920000000002,0
14277,Gerard Garcia,1954,67,Male,3368/ BUCKTHORN/ Merced/ El Nido/ CA/ 95317,(442)578-7061,gerard.garc31@hotmail.fr,0,Own,15433.44,0
14278,Adam Bowen,1974,48,Male,1158/ CASPIAN/ Washington/ Cecil/ PA/ 15321,(717)589-9406,ada.b419@yahoo.fr,0,Rent,18196.86,0
14279,Veronica Carey,1983,38,Female,4624/ CRYSTAL MOUNTAIN/ Stafford/ Stafford/ KS/ 67578,(316)505-8202,ver.carey02@orange.fr,1,Own,67417.02,0
14280,Jesse Allison,1979,42,Male,533/ CATTLEMAN/ Lake/ Kelseyville/ CA/ 95451,(909)573-2763,j-all14@wanadoo.fr,0,Rent,3649.8,0
14281,Debbie Grimes,1956,65,Female,443/ MONROE/ Anchorage/ Anchorage/ AK/ 99511,(907)776-3435,debbiegrim2805@hotmail.fr,3,Own,57666.840000000004,0
14282,Edna Wong,1920,101,Female,9626/ N CAP TX SB TO 2222 WB/ Wilson/ Buffalo/ KS/ 66717,(316)931-1803,e.wong@hotmail.fr,0,Own,75498.72,0
14283,Chase Wagner,2016,6,Male,3406/ CRAIGS CREST/ Geauga/ Novelty/ OH/ 44073,(440)417-3864,chase.w26@wanadoo.fr,0,Rent,0.0,0
14284,Eric Kirkland,1954,68,Male,5577/ BENNING/ Lewis/ Glenfield/ NY/ 13343,(917)270-1872,e-kirkland204@aol.com,2,Own,82902.6,0
14285,Bryce Short,2019,2,Male,1949/ LEYTON/ Bucks/ Solebury/ PA/ 18963,(717)377-6378,bryce-short@wanadoo.fr,0,Rent,0.0,0
14286,Marilyn Conway,1964,57,Female,1845/ ETTA/ / FPO/ AP/ 96595,(639)329-6097,maril.conway2312@orange.fr,0,Own,92600.64,0
14287,Jeanette Jenkins,1946,76,Female,1420/ DARRYL/ Northwest Arctic/ Kivalina/ AK/ 99750,(907)708-9044,jeanette.jenkins1946@aol.com,3,Rent,33369.6,0
14288,Jasmine Nielsen,2020,1,Female,4521/ DESTINY HILLS/ Phillips/ Barton/ AR/ 72312,(870)715-9392,jasmine_nielsen@gmail.com,0,Rent,0.0,0
14289,Valerie Drake,1964,58,Female,8081/ PINE/ Hartford/ West Simsbury/ CT/ 6092,(203)674-7616,va-drake0601@aol.com,2,Rent,3597.66,0
14290,Eliana Jennings,2018,4,Female,886/ ELLIOTT/ Dekalb/ Decatur/ GA/ 30034,(770)253-1583,elianajennings@gmail.com,0,Own,0.0,0
14291,Erica Spence,2008,13,Female,3949/ MOPAC NB TO WILLIAM CANNO/ Comal/ New Braunfels/ TX/ 78135,(682)815-5562,erica_spe@wanadoo.fr,0,Rent,0.0,0
14292,Spencer Mcpherson,2000,22,Male,121/ COMFORT/ Yates/ Branchport/ NY/ 14418,(917)212-6153,sp_mcpherson2000@orange.fr,0,Own,59856.72,8
14293,Andrea Mcgee,1971,50,Female,7431/ CHATHAM/ Pulaski/ Somerset/ KY/ 42502,(270)837-4756,andrea.mcgee08@hotmail.fr,1,Rent,38010.06,0
14294,Anita Hurst,1974,48,Female,4837/ BERRY HILL/ Barber/ Medicine Lodge/ KS/ 67104,(620)775-0212,anita.hurst09@hotmail.fr,0,Own,58553.22,4
14295,Veronica Sanford,1973,48,Female,2027/ N 35 SB TO THREE POINTS/ Jones/ Lueders/ TX/ 79533,(713)683-7532,veronica.sanfor1005@wanadoo.fr,0,Rent,19761.06,3
14296,Ryleigh Fox,2015,6,Female,3005/ DORCHESTER/ Zapata/ Zapata/ TX/ 78076,(325)690-9243,ryleigh.f11@hotmail.co.uk,0,Rent,0.0,0
14297,Janet Stephenson,1955,66,Female,2764/ SWISHER/ Lubbock/ Ransom Canyon/ TX/ 79366,(832)585-8804,janet_stephen220755@yahoo.com,0,Rent,30762.6,0
14298,Nathaniel Turner,1975,46,Male,8684/ GRAHAM/ Ware/ Waycross/ GA/ 31501,(762)444-3019,nat.tur@orange.fr,0,Own,78627.12,0
14299,Roy Meyers,1959,63,Male,7953/ DAMITA JO/ Nassau/ Manhasset/ NY/ 11030,(845)321-1327,romeyers@yahoo.com,0,Own,58813.92,0
14300,Francisco Cash,2000,21,Male,6784/ ZARAGOSA/ Rensselaer/ Troy/ NY/ 12182,(914)861-8342,francisco_cash@msn.com,0,Own,57145.44,12
14301,Jake Serrano,2001,20,Male,3463/ COLUMBIA/ Suffolk/ Brightwaters/ NY/ 11718,(646)803-3630,jake_s17@aol.com,0,Rent,22680.9,16
14302,Anna Edwards,1944,77,Female,9701/ FIORELLINO/ Fresno/ Fresno/ CA/ 93711,(747)257-0671,annaedwa@aol.com,0,Own,7560.3,0
14303,Carolyn Case,1956,66,Female,1316/ CURTIS/ Summers/ Elton/ WV/ 25965,(681)512-0366,carolyn.ca@hotmail.co.uk,2,Own,66947.76,0
14304,Erica Weber,1988,33,Female,5879/ CASTLETON/ Mcdowell/ Anawalt/ WV/ 24808,(681)372-5294,e.weber@msn.com,0,Rent,7247.46,0
14305,Kylie Parks,2016,5,Female,9941/ COLORADO/ Ottawa/ Ferrysburg/ MI/ 49409,(269)567-5815,k_pa2510@yahoo.com,0,Rent,0.0,0
14306,Ella Shepard,2006,15,Female,1851/ BRUNT/ Wood/ Weston/ OH/ 43569,(380)775-7087,ella.shepard1709@aol.com,0,Rent,0.0,28
14307,Jimmy Mullins,1949,73,Male,7862/ DORIA/ Jefferson/ Wheat Ridge/ CO/ 80033,(303)537-8007,jimullin16@gmail.com,1,Own,79252.8,0
14308,Hector Page,2003,18,Male,573/ PARLIAMENT/ Woodson/ Yates Center/ KS/ 66783,(785)261-5683,hector.pa@wanadoo.fr,0,Rent,29980.5,0
14309,Katherine Morales,1955,67,Female,5142/ CECIL/ Washington/ Manning/ OR/ 97125,(503)704-7468,katherine.morales1955@hotmail.fr,0,Own,27164.94,0
14310,Sonya Larsen,1968,53,Female,4528/ YALE/ Bristol/ Fall River/ MA/ 2721,(508)654-1181,sonya-l1968@hotmail.fr,0,Rent,20073.9,0
14311,Brenda Bond,1985,36,Female,2880/ BROWNWOOD/ Wilkes/ Ferguson/ NC/ 28624,(980)332-4464,bren-bon410@orange.fr,0,Own,58083.96,5
14312,Roger Burch,1941,80,Male,4754/ DENFIELD/ Park/ Hartsel/ CO/ 80449,(720)853-7469,ro_b150941@wanadoo.fr,1,Own,74247.36,0
14313,Lindsey Barber,1984,37,Female,2573/ DEMONA/ Los Angeles/ Palmdale/ CA/ 93551,(559)494-3958,lind.barber28@hotmail.co.uk,3,Own,69763.32,9
14314,Breanna Suarez,2000,22,Female,2848/ LAGUNA LOMA/ Crawford/ Sulphur/ IN/ 47174,(317)431-9786,br.suarez2000@hotmail.fr,0,Own,31544.7,19
14315,Luis Snow,2017,4,Male,6246/ CRISWOOD/ Wayne/ Detroit/ MI/ 48277,(231)634-6503,lui.sno1107@yahoo.com,0,Rent,0.0,0
14316,Adam Richmond,1985,36,Male,6101/ BRAES VALLEY/ Orange/ Irvine/ CA/ 92614,(831)943-3038,adam.richmond26@orange.fr,0,Own,91088.58,6
14317,Samuel Park,1981,40,Male,1491/ GEE/ Waukesha/ Sussex/ WI/ 53089,(262)258-0891,samuelpark1981@hotmail.co.uk,2,Own,76697.94,3
14318,Larry Marshall,1968,53,Male,5739/ CROCKETT/ Marion/ Ocala/ FL/ 34472,(850)976-3491,la.marshall040568@hotmail.fr,1,Rent,26643.54,1
14319,Jeffrey Cash,1993,28,Male,7416/ DIANA/ Minidoka/ Heyburn/ ID/ 83336,(208)261-5405,jeffrey.cash26@hotmail.fr,0,Own,72109.62,0
14320,Joel Sanchez,1950,71,Male,490/ OSAGE/ East Baton Rouge/ Baker/ LA/ 70714,(318)602-7698,joe.sanch@wanadoo.fr,0,Own,84988.2,0
14321,Sheryl Evans,1955,67,Female,9731/ BIGELOW/ Lane/ Thurston/ OR/ 97482,(458)673-6759,sheryl.ev16@hotmail.com,0,Own,45466.08,0
14322,Howard Conley,1955,66,Male,2951/ DELTA/ Loudoun/ Dulles/ VA/ 20101,(571)274-5045,howard.conley@yahoo.com,0,Own,67312.74,0
14323,Annabelle Savage,2011,10,Female,8041/ DEXLER/ Washington/ Lindon/ CO/ 80740,(303)403-9096,a.sa04@orange.fr,0,Rent,0.0,0
14324,Gilbert Kinney,1963,58,Male,1929/ PONTON/ San Diego/ Ranchita/ CA/ 92066,(831)374-5887,gilbe.kinney@wanadoo.fr,1,Own,88012.32,0
14325,Ariel Davis,1998,23,Female,2160/ DRIFT/ Bergen/ Leonia/ NJ/ 7605,(551)942-9158,ari.dav220898@wanadoo.fr,0,Own,19552.5,0
14326,Lee Wallace,1986,35,Male,1781/ AMBER/ San Francisco/ San Francisco/ CA/ 94110,(764)301-3656,le-wal@yahoo.com,0,Rent,36028.74,2
14327,Alexandra Curry,1997,25,Female,8648/ NORTH/ Erie/ Erie/ PA/ 16515,(610)488-0759,al.cur2501@yahoo.fr,0,Rent,31388.28,4
14328,Mitchell Turner,1977,45,Male,4809/ N IH 35 SB TO 8TH/ Otsego/ Westford/ NY/ 13488,(332)558-3587,mit_t1977@hotmail.fr,2,Own,88846.56,1
14329,Edna Estes,1949,72,Female,6513/ N 35 NB TO MIDDLE FISKVIL/ Arlington/ Ft Myer/ VA/ 22211,(276)808-4152,e-estes28@hotmail.com,0,Own,77480.04,0
14330,Jordan Colon,1994,28,Female,9647/ ALLEN/ Multnomah/ Portland/ OR/ 97211,(458)700-7773,j.colon@msn.com,3,Rent,31023.3,0
14331,Autumn Porter,1984,38,Female,4323/ DALEWOOD/ Montgomery/ Salford/ PA/ 18957,(570)547-1999,autumn-porter1984@yahoo.com,0,Own,58344.66,6
14332,Joel Horn,1949,73,Male,8438/ N IH 35 SB TO BARWOOD/ Unicoi/ Erwin/ TN/ 37650,(629)431-4155,j-h@orange.fr,0,Own,92652.78,0
14333,Dana Anderson,1974,47,Female,1691/ DICKSON/ Plymouth/ Pembroke/ MA/ 2359,(339)615-8881,dan.anderson17@hotmail.fr,2,Own,69867.6,3
14334,Erika Flowers,1974,48,Female,5083/ ELDER/ Washington/ Whiting/ ME/ 4691,(207)625-0813,e.flowers03@hotmail.com,0,Rent,33995.28,2
14335,Aaron Garrett,1988,33,Male,4976/ BRUSHY RIDGE/ Allegany/ Pinto/ MD/ 21556,(410)838-8283,aa_ga@hotmail.fr,2,Own,81077.7,5
14336,Sarah Vinson,1971,51,Female,3606/ DAVY/ Orange/ Orlando/ FL/ 32824,(850)434-3629,sarah-vinson@hotmail.fr,0,Own,54903.42,2
14337,Brittany Kline,2008,13,Female,8599/ DEBBIE/ Middlesex/ Higganum/ CT/ 6441,(203)388-4791,brittany.kline@hotmail.fr,0,Rent,0.0,0
14338,Wayne Mcfadden,1972,50,Male,2702/ COLONIAL/ Pittsburg/ Canadian/ OK/ 74425,(580)900-5545,w-mcfadden@hotmail.fr,0,Own,65383.56,0
14339,Christine Cantrell,1966,56,Female,5592/ N IH 35 NB TO ANDERSON WB/ Giles/ Minor Hill/ TN/ 38473,(423)309-4789,chri-cant0602@hotmail.fr,0,Own,71014.68000000001,0
14340,Vincent Merritt,1974,48,Male,3536/ DRYFIELD/ Harris/ Houston/ TX/ 77045,(979)880-7104,vin.merritt1801@orange.fr,1,Own,116011.5,1
14341,Caitlin Daniel,1986,36,Female,9827/ CUTBACK/ Hennepin/ Maple Plain/ MN/ 55571,(507)422-4439,caitli.daniel2401@yahoo.com,0,Rent,48907.32,12
14342,Kelly Huffman,1971,50,Female,4888/ COLWYN BAY/ Pierce/ Puyallup/ WA/ 98372,(360)277-6596,kelly.huffm14@orange.fr,2,Own,38948.58,3
14343,Eddie Meadows,1960,61,Male,8755/ SWISHER/ Grant/ Fennimore/ WI/ 53809,(414)598-2444,eddie_meadows1960@msn.com,1,Own,77584.32,0
14344,Margaret Hebert,1954,68,Female,6501/ AMESWOOD/ Volusia/ Seville/ FL/ 32190,(689)621-5884,margaret_he@gmail.com,0,Own,64236.48,0
14345,Jaime Webb,1974,48,Male,1675/ PIKE/ Du Page/ Wood Dale/ IL/ 60191,(630)286-2311,ja_webb69@aol.com,3,Own,103497.9,2
14346,Gabriella Phelps,2016,5,Female,5740/ BRAXTON VALLEY/ Shawnee/ Topeka/ KS/ 66606,(620)209-0693,gabriella.phelps2016@aol.com,0,Rent,0.0,0
14347,Mason Chapman,1994,27,Male,5864/ DIXON/ Mcdowell/ Eckman/ WV/ 24829,(681)555-6291,m-chapman1994@hotmail.fr,3,Own,75342.3,0
14348,Veronica Tucker,1971,50,Female,6850/ N IH 35 SB TO 290 EB/ Lexington/ Cayce/ SC/ 29033,(864)812-3920,veronica.tucker1971@hotmail.co.uk,0,Own,56363.340000000004,1
14349,Mitchell Parks,1961,60,Male,4326/ CEBERRY/ Coshocton/ Keene/ OH/ 43828,(513)969-6268,mitchell.parks11@gmail.com,0,Own,5526.84,0
14350,David Santana,1983,38,Male,8643/ PEACE PIPE/ Madison/ Oakpark/ VA/ 22730,(757)573-3169,david.sa1983@gmail.com,0,Own,51931.44,3
14351,Ted Winters,1953,68,Male,4830/ N IH 35 SB TO 8TH/ Carter/ Wilson/ OK/ 73463,(405)618-0945,te.wint755@wanadoo.fr,0,Own,75811.56,0
14352,Victor Cash,1976,45,Male,5242/ 11TH/ Sedgwick/ Wichita/ KS/ 67206,(785)592-3603,victorcash@msn.com,0,Own,90150.06,3
14353,Juan Jarvis,1991,30,Male,4713/ COLEBROOK/ Steuben/ Wayland/ NY/ 14572,(315)861-5572,juan_jarvi752@yahoo.com,2,Own,82902.6,10
14354,Miles Andrews,2014,8,Male,8323/ CASTLEBAY/ Schuylkill/ Pottsville/ PA/ 17901,(570)659-6497,miles.andr30@msn.com,0,Rent,0.0,0
14355,Christina Wiggins,1978,43,Female,390/ CORRAL/ Ralls/ New London/ MO/ 63459,(557)584-1482,christina-wiggins20@yahoo.fr,2,Rent,5422.56,1
14356,Richard Estes,1971,50,Male,2296/ CASCADE FALLS/ Lincoln/ Tyler/ MN/ 56178,(507)315-7585,richard.est03@aol.com,1,Own,116480.76,1
14357,Catherine Merritt,1965,57,Female,7229/ BRANSFORD/ Lorain/ Wellington/ OH/ 44090,(740)522-0169,catherine_mer@wanadoo.fr,2,Own,58553.22,0
14358,Vincent Powers,1971,50,Male,710/ ANDOVER/ Marion/ Columbia/ IA/ 50057,(515)608-5501,vince_powers1971@orange.fr,2,Rent,30449.760000000002,2
14359,Vincent Cooley,2018,3,Male,5995/ ETTA/ Crawford/ Girard/ KS/ 66743,(913)384-1778,vincent.coole16@yahoo.fr,0,Rent,0.0,0
14360,Crystal Page,1962,60,Female,1140/ DENTON/ / FPO/ AP/ 96657,(456)518-1015,crystal.p@msn.com,0,Own,63767.22,0
14361,Arthur Mcclain,1969,52,Male,9786/ FREDERICK/ Sullivan/ Bethel/ NY/ 12720,(914)290-7237,arthu-mcclai1209@hotmail.co.uk,0,Own,83893.26,0
14362,Jesse Soto,1991,30,Male,1779/ CHALK HILL/ Bear Lake/ Geneva/ ID/ 83238,(208)713-9590,jesssoto1991@hotmail.com,0,Rent,45257.520000000004,9
14363,Whitney Robles,1993,28,Female,7146/ DUB/ Yavapai/ Iron Springs/ AZ/ 86330,(520)594-3273,whitneyro17@hotmail.com,1,Rent,5057.58,0
14364,Christina Cannon,1982,40,Female,1741/ GEORGIAN/ Benton/ Bella Vista/ AR/ 72714,(501)853-3077,christinacannon070482@aol.com,0,Rent,6569.64,9
14365,Adrianna Mathews,2009,13,Female,5813/ DEPUTY/ Gates/ Gates/ NC/ 27937,(828)789-1374,a.mat03@wanadoo.fr,0,Rent,0.0,0
14366,Grant Duran,2006,15,Male,3671/ HARWOOD/ Greene/ East Durham/ NY/ 12423,(845)937-9265,grant-dura2006@wanadoo.fr,0,Rent,0.0,18
14367,Robin Matthews,1983,38,Female,5478/ GROOMS/ Randolph/ Montrose/ WV/ 26283,(304)966-2781,robi_matthews2309@orange.fr,2,Rent,48542.340000000004,6
14368,Blake Massey,2010,12,Male,7203/ DAFFODIL/ Columbiana/ Homeworth/ OH/ 44634,(220)947-2805,blak.massey@aol.com,0,Rent,0.0,0
14369,Dora Osborn,1910,111,Female,4451/ CLOVIS/ Newport/ Newport/ RI/ 2841,(401)888-8040,dor-osborn280510@orange.fr,0,Own,72683.16,0
14370,Curtis Justice,1948,73,Male,4160/ WALTON HILL/ Salt Lake/ Salt Lake City/ UT/ 84147,(801)692-1282,cur.just30@yahoo.com,2,Rent,17101.920000000002,0
14371,Michael Stafford,1999,23,Male,8535/ BUCKTHORN/ Dixon/ Concord/ NE/ 68728,(402)718-0650,michael.stafford@aol.com,3,Own,63871.5,5
14372,Helen Castaneda,1964,57,Female,8518/ CRAGGY/ Washington/ Calais/ ME/ 4619,(207)287-0164,helen_castaneda20@yahoo.fr,0,Own,19135.38,0
14373,Vincent Mathews,2002,20,Male,4567/ HARWOOD/ Clay/ Goose Rock/ KY/ 40944,(859)634-6249,v_mathe@yahoo.fr,1,Rent,1199.22,2
14374,Casey Sims,1998,23,Male,965/ DAMITA JO/ Bradford/ Gillett/ PA/ 16925,(717)930-5548,case-si0706@hotmail.fr,3,Own,27321.36,13
14375,Darlene Carr,1966,55,Female,5691/ TELLO/ Knox/ Knoxville/ TN/ 37918,(901)904-5419,d.carr141166@msn.com,1,Own,50523.66,0
14376,Anthony Collins,1963,58,Male,1595/ LIBERTY/ De Kalb/ Cortland/ IL/ 60112,(217)379-7043,anth.co103@hotmail.com,1,Own,109858.98,0
14377,Angela Hodges,1954,68,Female,7976/ 26TH HALF/ Izard/ Wiseman/ AR/ 72587,(479)650-7827,angela_hodges1954@yahoo.fr,3,Own,37540.8,0
14378,Hunter Logan,2011,10,Male,346/ DEVONSHIRE/ Hemphill/ Canadian/ TX/ 79014,(956)428-8086,hunter.logan09@gmail.com,0,Rent,0.0,0
14379,Cindy Webb,1969,52,Female,3731/ SUSIE/ Clay/ Kansas City/ MO/ 64119,(573)731-7511,cind.w@gmail.com,1,Own,90567.18000000001,0
14380,Kristopher Walsh,1973,48,Male,1646/ CEDAR CLIFF/ King/ Sammamish/ WA/ 98074,(564)735-5146,kristopher_w1973@wanadoo.fr,3,Own,79357.08,3
14381,Jorge Potts,2009,12,Male,2247/ CATUMET/ Maury/ Williamsport/ TN/ 38487,(629)534-0477,jo-po748@yahoo.com,0,Rent,0.0,0
14382,Mikayla Gonzales,1995,26,Female,2856/ LEONA/ La Plata/ Hesperus/ CO/ 81326,(720)414-2358,mikay.gonz22@yahoo.fr,0,Rent,3284.82,0
14383,Kerri Medina,1972,50,Female,3979/ DONNER/ Union/ Thayer/ IA/ 50254,(712)229-8193,kerri.medin29@gmail.com,0,Own,33995.28,0
14384,Jada Wilder,2005,16,Female,3724/ INWOOD/ Saint Clair/ Caseyville/ IL/ 62232,(779)779-0913,jadawil0807@msn.com,0,Rent,28468.44,8
14385,Bill Huber,1958,63,Male,3052/ N 620 NB TO PARMER/ Vanderburgh/ Evansville/ IN/ 47728,(219)994-9881,bil_hub0306@wanadoo.fr,0,Own,56989.020000000004,0
14386,Anthony Snyder,1973,48,Male,6723/ COPPERHEAD/ Leon/ Tallahassee/ FL/ 32399,(786)819-5111,anth.sny3108@orange.fr,0,Rent,11314.380000000001,1
14387,Anna Phelps,2017,5,Female,9408/ CATAMARAN/ Wake/ Garner/ NC/ 27529,(336)514-5092,anna.phel@hotmail.com,0,Own,0.0,0
14388,Heather Fowler,1974,47,Female,1794/ 38TH HALF/ Oconto/ Sobieski/ WI/ 54171,(608)526-1389,heather-fowler12@msn.com,0,Rent,26226.420000000002,1
14389,Maria Jimenez,1915,106,Female,5541/ DRAKE ELM/ Chippewa/ Pickford/ MI/ 49774,(517)554-5762,maria.jim29@orange.fr,2,Own,14547.06,0
14390,Jordan Ross,1991,30,Female,8293/ LANCASTER GATE/ Saint Clair/ National Stock Yards/ IL/ 62071,(618)600-4749,jordan.ro@aol.com,0,Own,32639.64,12
14391,Destiny Fisher,1998,23,Female,1597/ DUNKELD/ Mccurtain/ Broken Bow/ OK/ 74728,(539)353-1643,destiny.fisher30@hotmail.fr,0,Own,54642.72,17
14392,Eliana Olson,2016,5,Female,3352/ CAVES VALLEY/ La Salle/ Leland/ IL/ 60531,(872)576-1714,eliana.o2016@hotmail.co.uk,0,Rent,0.0,0
14393,Sylvia Fitzpatrick,1955,67,Female,9277/ BERTHOUND/ Fayette/ Gauley Bridge/ WV/ 25085,(681)346-8127,sylvia.fitzpatrick24@gmail.com,2,Own,56571.9,0
14394,Susan Compton,1984,37,Female,2546/ 40TH/ Knox/ Victoria/ IL/ 61485,(464)309-4898,sus.compton1984@gmail.com,0,Rent,13191.42,12
14395,Breanna Rios,2009,12,Female,7089/ COLEBROOK/ Mendocino/ Branscomb/ CA/ 95417,(310)997-4816,breanna.rios180509@hotmail.co.uk,0,Rent,0.0,0
14396,Sarah Fuentes,2007,15,Female,4944/ NEVADA/ Robertson/ New Baden/ TX/ 77870,(512)272-9428,sarah_fue444@yahoo.fr,0,Rent,0.0,10
14397,Steven Parsons,1956,66,Male,9033/ DARJEELING/ Suffolk/ Bayport/ NY/ 11705,(518)813-4047,steven-parso01@hotmail.fr,1,Own,96250.44,0
14398,Craig Head,1966,55,Male,1889/ CASCADE/ Pasco/ Hudson/ FL/ 34669,(786)461-8950,cr_hea23@orange.fr,0,Own,54329.88,0
14399,David Daniel,1973,48,Male,4052/ 49TH HALF/ Caddo/ Shreveport/ LA/ 71165,(985)277-6095,david_d@wanadoo.fr,0,Own,105166.38,1
14400,Julia Cote,1985,36,Female,2173/ 22ND/ Medina/ Litchfield/ OH/ 44253,(419)553-2444,j.co667@yahoo.com,0,Rent,26330.7,9
14401,Shelley Dejesus,1953,68,Female,7081/ DASHWOOD CREEK/ Madison/ Richmond/ KY/ 40475,(606)262-0531,shelley-deje2412@yahoo.com,2,Rent,35142.36,0
14402,Ross Koch,1980,41,Male,8575/ N 35 NB TO CESAR CHAVEZ/ Lincoln/ Wellston/ OK/ 74881,(539)601-1469,roskoch@hotmail.com,3,Own,109181.16,0
14403,Lucas Salazar,2010,11,Male,4708/ DOUBLE SPUR/ Fremont/ Dubois/ WY/ 82513,(307)977-9252,luca-salazar0709@aol.com,0,Rent,0.0,0
14404,Meredith Carpenter,1975,46,Female,546/ DAVIOT/ Kalkaska/ South Boardman/ MI/ 49680,(313)465-8529,mered-carpen@hotmail.co.uk,0,Rent,17884.02,6
14405,Kathryn Whitaker,1984,38,Female,753/ DEERGROVE/ Juniata/ Richfield/ PA/ 17086,(814)620-2902,kathryn_whitaker@orange.fr,0,Own,62724.42,2
